Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_Count
Diabetes,Increased drinking and urination,Hunger,Lethargy,Losing sight,Loss of appetite,Enlarged Liver,None,6
Diabetes,Weight Loss,Cataracts,Losing sight,Glucose in urine,Coma,Collapse,None,6
Diabetes,Hunger,Weight Loss,Lethargy,Losing sight,Collapse,Lack of energy,None,6
Diabetes,Increased drinking and urination,Cataracts,Losing sight,Loss of appetite,Lack of energy,Enlarged Liver,None,6
Diabetes,Weight Loss,Cataracts,Losing sight,Loss of appetite,Lack of energy,None,None,5
Diabetes,Increased drinking and urination,Hunger,Glucose in urine,Lack of energy,None,None,None,4
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Cataracts,Coma,Collapse,None,6
Diabetes,Cataracts,Losing sight,Loss of appetite,Glucose in urine,Lack of energy,Enlarged Liver,None,6
Diabetes,Hunger,Weight Loss,Vomiting,Losing sight,Enlarged Liver,None,None,5
Diabetes,Hunger,Weight Loss,Lethargy,Loss of appetite,Coma,None,None,5
Diabetes,Weight Loss,Cataracts,Glucose in urine,Coma,None,None,None,4
Diabetes,Increased drinking and urination,Cataracts,Coma,Enlarged Liver,None,None,None,4
Diabetes,Hunger,Weight Loss,Loss of appetite,Collapse,Lack of energy,Enlarged Liver,None,6
Diabetes,Lethargy,Vomiting,Glucose in urine,Coma,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Vomiting,Losing sight,Collapse,Lack of energy,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Weight Loss,Vomiting,Loss of appetite,Glucose in urine,Enlarged Liver,None,6
Diabetes,Hunger,Lethargy,Glucose in urine,Coma,Lack of energy,None,None,5
Diabetes,Cataracts,Loss of appetite,Lack of energy,Enlarged Liver,None,None,None,4
Diabetes,Weight Loss,Loss of appetite,Glucose in urine,Collapse,Lack of energy,None,None,5
Diabetes,Increased drinking and urination,Vomiting,Losing sight,Loss of appetite,Coma,Enlarged Liver,None,6
Diabetes,Hunger,Lethargy,Vomiting,Loss of appetite,Glucose in urine,Lack of energy,None,6
Diabetes,Hunger,Vomiting,Cataracts,Loss of appetite,Coma,Lack of energy,None,6
Diabetes,Hunger,Vomiting,Glucose in urine,Collapse,Lack of energy,None,None,5
Diabetes,Lethargy,Cataracts,Losing sight,Loss of appetite,Coma,Enlarged Liver,None,6
Diabetes,Hunger,Weight Loss,Lethargy,Collapse,Enlarged Liver,None,None,5
Diabetes,Cataracts,Losing sight,Glucose in urine,Collapse,Lack of energy,None,None,5
Diabetes,Increased drinking and urination,Weight Loss,Lethargy,Loss of appetite,Glucose in urine,Coma,None,6
Diabetes,Vomiting,Losing sight,Collapse,Lack of energy,None,None,None,4
Diabetes,Increased drinking and urination,Cataracts,Loss of appetite,Glucose in urine,Coma,Collapse,None,6
Diabetes,Increased drinking and urination,Lethargy,Cataracts,Loss of appetite,Collapse,Lack of energy,None,6
Diabetes,Increased drinking and urination,Weight Loss,Vomiting,Coma,None,None,None,4
Diabetes,Increased drinking and urination,Hunger,Lethargy,Losing sight,Glucose in urine,Lack of energy,None,6
Diabetes,Hunger,Cataracts,Losing sight,Loss of appetite,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Weight Loss,Lethargy,Losing sight,Loss of appetite,Collapse,None,6
Diabetes,Increased drinking and urination,Lethargy,Vomiting,Loss of appetite,Glucose in urine,None,None,5
Diabetes,Hunger,Losing sight,Loss of appetite,Collapse,None,None,None,4
Diabetes,Increased drinking and urination,Hunger,Losing sight,Loss of appetite,Glucose in urine,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Hunger,Loss of appetite,Glucose in urine,Coma,None,None,5
Diabetes,Increased drinking and urination,Hunger,Cataracts,Losing sight,Loss of appetite,Lack of energy,None,6
Diabetes,Lethargy,Vomiting,Loss of appetite,Glucose in urine,Collapse,None,None,5
Diabetes,Increased drinking and urination,Weight Loss,Lethargy,Cataracts,Glucose in urine,Collapse,None,6
Diabetes,Increased drinking and urination,Hunger,Glucose in urine,Collapse,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Vomiting,Cataracts,Losing sight,Loss of appetite,Coma,None,6
Diabetes,Weight Loss,Vomiting,Cataracts,Losing sight,None,None,None,4
Diabetes,Weight Loss,Loss of appetite,Glucose in urine,Coma,Lack of energy,Enlarged Liver,None,6
Diabetes,Weight Loss,Cataracts,Losing sight,Glucose in urine,None,None,None,4
Diabetes,Weight Loss,Lethargy,Vomiting,Losing sight,Lack of energy,None,None,5
Diabetes,Hunger,Weight Loss,Lethargy,Vomiting,Collapse,Lack of energy,None,6
Diabetes,Hunger,Vomiting,Collapse,Lack of energy,None,None,None,4
Diabetes,Hunger,Weight Loss,Lethargy,Vomiting,Loss of appetite,Collapse,None,6
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Glucose in urine,Collapse,Enlarged Liver,None,6
Diabetes,Hunger,Weight Loss,Lethargy,Coma,None,None,None,4
Diabetes,Lethargy,Cataracts,Losing sight,Collapse,None,None,None,4
Diabetes,Increased drinking and urination,Hunger,Cataracts,Glucose in urine,Collapse,Lack of energy,None,6
Diabetes,Increased drinking and urination,Loss of appetite,Coma,Collapse,Lack of energy,None,None,5
Diabetes,Hunger,Vomiting,Loss of appetite,Glucose in urine,Coma,Enlarged Liver,None,6
Diabetes,Lethargy,Vomiting,Cataracts,Coma,Collapse,None,None,5
Diabetes,Hunger,Lethargy,Cataracts,Collapse,Lack of energy,None,None,5
Diabetes,Hunger,Weight Loss,Lethargy,Losing sight,Loss of appetite,Collapse,None,6
Diabetes,Increased drinking and urination,Lethargy,Vomiting,Loss of appetite,Collapse,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Cataracts,Loss of appetite,None,None,5
Diabetes,Hunger,Weight Loss,Cataracts,Losing sight,Lack of energy,None,None,5
Diabetes,Increased drinking and urination,Weight Loss,Cataracts,Loss of appetite,Coma,Collapse,None,6
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Coma,Enlarged Liver,None,None,5
Diabetes,Hunger,Vomiting,Loss of appetite,Coma,Collapse,None,None,5
Diabetes,Hunger,Weight Loss,Cataracts,Glucose in urine,Collapse,None,None,5
Diabetes,Weight Loss,Vomiting,Cataracts,Losing sight,Coma,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Lethargy,Loss of appetite,Glucose in urine,Lack of energy,Enlarged Liver,None,6
Diabetes,Hunger,Lethargy,Loss of appetite,Coma,Lack of energy,None,None,5
Diabetes,Glucose in urine,Coma,Collapse,Enlarged Liver,None,None,None,4
Diabetes,Increased drinking and urination,Weight Loss,Lethargy,Glucose in urine,Coma,Enlarged Liver,None,6
Diabetes,Weight Loss,Loss of appetite,Glucose in urine,Lack of energy,None,None,None,4
Diabetes,Increased drinking and urination,Hunger,Losing sight,Glucose in urine,None,None,None,4
Diabetes,Increased drinking and urination,Weight Loss,Lethargy,Cataracts,Loss of appetite,Collapse,None,6
Diabetes,Hunger,Weight Loss,Vomiting,Cataracts,Coma,Collapse,None,6
Diabetes,Cataracts,Losing sight,Lack of energy,Enlarged Liver,None,None,None,4
Diabetes,Losing sight,Coma,Lack of energy,Enlarged Liver,None,None,None,4
Diabetes,Vomiting,Losing sight,Coma,Lack of energy,None,None,None,4
Diabetes,Increased drinking and urination,Weight Loss,Losing sight,Coma,Collapse,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Hunger,Lethargy,Loss of appetite,Glucose in urine,Lack of energy,None,6
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Glucose in urine,Coma,Collapse,None,6
Diabetes,Hunger,Vomiting,Losing sight,Loss of appetite,Glucose in urine,Enlarged Liver,None,6
Diabetes,Weight Loss,Vomiting,Glucose in urine,Collapse,Enlarged Liver,None,None,5
Diabetes,Hunger,Lethargy,Loss of appetite,Glucose in urine,Collapse,None,None,5
Diabetes,Hunger,Weight Loss,Lethargy,Loss of appetite,Glucose in urine,Enlarged Liver,None,6
Diabetes,Hunger,Lethargy,Vomiting,Loss of appetite,Lack of energy,Enlarged Liver,None,6
Diabetes,Hunger,Cataracts,Losing sight,Loss of appetite,Collapse,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Weight Loss,Lethargy,Vomiting,None,None,None,4
Diabetes,Hunger,Cataracts,Losing sight,Glucose in urine,Lack of energy,Enlarged Liver,None,6
Diabetes,Hunger,Vomiting,Losing sight,Loss of appetite,Coma,Collapse,None,6
Diabetes,Increased drinking and urination,Vomiting,Cataracts,Coma,Collapse,Enlarged Liver,None,6
Diabetes,Lethargy,Cataracts,Coma,Collapse,None,None,None,4
Diabetes,Increased drinking and urination,Hunger,Vomiting,Cataracts,Loss of appetite,Enlarged Liver,None,6
Diabetes,Hunger,Lethargy,Cataracts,Collapse,Lack of energy,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Hunger,Loss of appetite,Glucose in urine,Coma,Lack of energy,None,6
Diabetes,Vomiting,Cataracts,Losing sight,Glucose in urine,Collapse,Lack of energy,None,6
Diabetes,Increased drinking and urination,Hunger,Cataracts,Glucose in urine,Coma,Enlarged Liver,None,6
Diabetes,Lethargy,Cataracts,Glucose in urine,Collapse,None,None,None,4
Diabetes,Increased drinking and urination,Hunger,Lethargy,Loss of appetite,Glucose in urine,Coma,None,6
Diabetes,Hunger,Weight Loss,Lethargy,Losing sight,Loss of appetite,Glucose in urine,None,6
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Cataracts,Lack of energy,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Weight Loss,Lethargy,Glucose in urine,Collapse,Enlarged Liver,None,6
Diabetes,Hunger,Lethargy,Cataracts,Glucose in urine,Lack of energy,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Hunger,Losing sight,Lack of energy,Enlarged Liver,None,None,5
Diabetes,Lethargy,Cataracts,Losing sight,Coma,Lack of energy,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Hunger,Collapse,Lack of energy,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Hunger,Losing sight,Loss of appetite,None,None,None,4
Diabetes,Increased drinking and urination,Glucose in urine,Coma,Enlarged Liver,None,None,None,4
Diabetes,Increased drinking and urination,Weight Loss,Losing sight,Glucose in urine,Coma,Lack of energy,None,6
Diabetes,Lethargy,Vomiting,Losing sight,Coma,None,None,None,4
Diabetes,Weight Loss,Lethargy,Vomiting,Coma,Collapse,Lack of energy,None,6
Diabetes,Weight Loss,Vomiting,Cataracts,Loss of appetite,Enlarged Liver,None,None,5
Diabetes,Weight Loss,Vomiting,Cataracts,Losing sight,Loss of appetite,Coma,None,6
Diabetes,Hunger,Weight Loss,Lethargy,Glucose in urine,Coma,None,None,5
Diabetes,Hunger,Weight Loss,Cataracts,Coma,Collapse,None,None,5
Diabetes,Hunger,Lethargy,Losing sight,Glucose in urine,None,None,None,4
Diabetes,Increased drinking and urination,Weight Loss,Lethargy,Vomiting,Cataracts,Collapse,None,6
Diabetes,Weight Loss,Vomiting,Cataracts,Loss of appetite,Glucose in urine,None,None,5
Diabetes,Increased drinking and urination,Lethargy,Losing sight,Glucose in urine,Coma,Collapse,None,6
Diabetes,Hunger,Lethargy,Vomiting,Glucose in urine,Coma,Lack of energy,None,6
Diabetes,Weight Loss,Lethargy,Coma,Collapse,Lack of energy,None,None,5
Diabetes,Lethargy,Cataracts,Loss of appetite,Coma,Collapse,None,None,5
Diabetes,Increased drinking and urination,Hunger,Losing sight,Coma,None,None,None,4
Diabetes,Increased drinking and urination,Hunger,Vomiting,Glucose in urine,Lack of energy,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Hunger,Losing sight,Loss of appetite,Lack of energy,Enlarged Liver,None,6
Diabetes,Weight Loss,Lethargy,Vomiting,Losing sight,Coma,Collapse,None,6
Diabetes,Hunger,Weight Loss,Lethargy,Cataracts,Losing sight,Collapse,None,6
Diabetes,Glucose in urine,Coma,Collapse,Lack of energy,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Loss of appetite,Glucose in urine,Coma,Collapse,None,None,5
Diabetes,Increased drinking and urination,Weight Loss,Lethargy,Vomiting,Glucose in urine,Coma,None,6
Diabetes,Increased drinking and urination,Weight Loss,Vomiting,Coma,Lack of energy,Enlarged Liver,None,6
Diabetes,Weight Loss,Lethargy,Vomiting,Losing sight,Loss of appetite,Glucose in urine,None,6
Diabetes,Lethargy,Vomiting,Losing sight,Loss of appetite,Glucose in urine,Coma,None,6
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Collapse,Lack of energy,None,None,5
Diabetes,Weight Loss,Vomiting,Loss of appetite,Coma,Collapse,None,None,5
Diabetes,Weight Loss,Lethargy,Loss of appetite,Coma,Collapse,Enlarged Liver,None,6
Diabetes,Weight Loss,Lethargy,Vomiting,Collapse,Lack of energy,None,None,5
Diabetes,Lethargy,Cataracts,Losing sight,Glucose in urine,Collapse,None,None,5
Diabetes,Weight Loss,Cataracts,Glucose in urine,Collapse,Lack of energy,None,None,5
Diabetes,Hunger,Lethargy,Vomiting,Losing sight,Glucose in urine,Lack of energy,None,6
Diabetes,Hunger,Weight Loss,Loss of appetite,Collapse,None,None,None,4
Diabetes,Hunger,Cataracts,Losing sight,Glucose in urine,Coma,Collapse,None,6
Diabetes,Hunger,Weight Loss,Lethargy,Vomiting,Glucose in urine,None,None,5
Diabetes,Increased drinking and urination,Weight Loss,Lethargy,Glucose in urine,Lack of energy,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Hunger,Lethargy,Vomiting,Coma,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Weight Loss,Coma,Collapse,Lack of energy,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Weight Loss,Vomiting,Cataracts,Coma,Collapse,None,6
Diabetes,Hunger,Weight Loss,Lethargy,Cataracts,Coma,Collapse,None,6
Diabetes,Cataracts,Loss of appetite,Glucose in urine,Lack of energy,Enlarged Liver,None,None,5
Diabetes,Lethargy,Vomiting,Cataracts,Collapse,Lack of energy,None,None,5
Diabetes,Increased drinking and urination,Vomiting,Cataracts,Coma,None,None,None,4
Diabetes,Increased drinking and urination,Hunger,Cataracts,Collapse,Lack of energy,None,None,5
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Vomiting,Losing sight,Enlarged Liver,None,6
Diabetes,Lethargy,Vomiting,Loss of appetite,Glucose in urine,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Vomiting,Losing sight,Lack of energy,None,None,None,4
Diabetes,Weight Loss,Losing sight,Loss of appetite,Collapse,Lack of energy,Enlarged Liver,None,6
Diabetes,Weight Loss,Vomiting,Losing sight,Loss of appetite,Glucose in urine,None,None,5
Diabetes,Hunger,Lethargy,Vomiting,Coma,Collapse,Lack of energy,None,6
Diabetes,Increased drinking and urination,Lethargy,Vomiting,Glucose in urine,Coma,Collapse,None,6
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Lethargy,Cataracts,Glucose in urine,None,6
Diabetes,Increased drinking and urination,Weight Loss,Loss of appetite,Coma,None,None,None,4
Diabetes,Weight Loss,Lethargy,Glucose in urine,Coma,Collapse,None,None,5
Diabetes,Increased drinking and urination,Weight Loss,Vomiting,Cataracts,Losing sight,Lack of energy,None,6
Diabetes,Increased drinking and urination,Lethargy,Coma,Lack of energy,Enlarged Liver,None,None,5
Diabetes,Lethargy,Vomiting,Coma,Lack of energy,Enlarged Liver,None,None,5
Diabetes,Cataracts,Coma,Lack of energy,Enlarged Liver,None,None,None,4
Diabetes,Weight Loss,Cataracts,Glucose in urine,Coma,Collapse,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Hunger,Lethargy,Vomiting,Coma,None,None,5
Diabetes,Increased drinking and urination,Hunger,Vomiting,Cataracts,Lack of energy,None,None,5
Diabetes,Weight Loss,Cataracts,Loss of appetite,Glucose in urine,Coma,None,None,5
Diabetes,Weight Loss,Lethargy,Vomiting,Cataracts,Loss of appetite,Glucose in urine,None,6
Diabetes,Increased drinking and urination,Weight Loss,Lethargy,Losing sight,Coma,None,None,5
Diabetes,Increased drinking and urination,Loss of appetite,Coma,Enlarged Liver,None,None,None,4
Diabetes,Hunger,Weight Loss,Lethargy,Cataracts,Coma,Enlarged Liver,None,6
Diabetes,Weight Loss,Lethargy,Vomiting,Losing sight,Collapse,Lack of energy,None,6
Diabetes,Increased drinking and urination,Hunger,Cataracts,Glucose in urine,Collapse,None,None,5
Diabetes,Vomiting,Losing sight,Glucose in urine,Coma,Collapse,Enlarged Liver,None,6
Diabetes,Hunger,Cataracts,Loss of appetite,Glucose in urine,None,None,None,4
Diabetes,Hunger,Vomiting,Loss of appetite,Coma,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Lethargy,Cataracts,Glucose in urine,Lack of energy,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Hunger,Vomiting,Glucose in urine,Coma,Enlarged Liver,None,6
Diabetes,Hunger,Lethargy,Vomiting,Cataracts,Losing sight,Coma,None,6
Diabetes,Increased drinking and urination,Weight Loss,Glucose in urine,Coma,Enlarged Liver,None,None,5
Diabetes,Cataracts,Losing sight,Loss of appetite,Collapse,Lack of energy,None,None,5
Diabetes,Hunger,Glucose in urine,Coma,Enlarged Liver,None,None,None,4
Diabetes,Increased drinking and urination,Losing sight,Loss of appetite,Glucose in urine,Collapse,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Lethargy,Losing sight,Coma,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Hunger,Cataracts,Coma,Collapse,Lack of energy,None,6
Diabetes,Weight Loss,Vomiting,Loss of appetite,Glucose in urine,Coma,Lack of energy,None,6
Diabetes,Weight Loss,Vomiting,Cataracts,Glucose in urine,Collapse,Lack of energy,None,6
Diabetes,Hunger,Cataracts,Losing sight,Collapse,Lack of energy,None,None,5
Diabetes,Hunger,Weight Loss,Lethargy,Vomiting,Glucose in urine,Collapse,None,6
Diabetes,Increased drinking and urination,Hunger,Vomiting,Losing sight,Coma,Enlarged Liver,None,6
Diabetes,Lethargy,Vomiting,Losing sight,Loss of appetite,Coma,Collapse,None,6
Diabetes,Lethargy,Loss of appetite,Glucose in urine,Coma,Lack of energy,None,None,5
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Collapse,None,None,None,4
Diabetes,Weight Loss,Losing sight,Loss of appetite,Glucose in urine,Lack of energy,None,None,5
Diabetes,Hunger,Lethargy,Collapse,Lack of energy,None,None,None,4
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Cataracts,Losing sight,Coma,None,6
Diabetes,Vomiting,Loss of appetite,Glucose in urine,Coma,Collapse,None,None,5
Diabetes,Lethargy,Losing sight,Loss of appetite,Coma,Lack of energy,None,None,5
Diabetes,Hunger,Weight Loss,Loss of appetite,Glucose in urine,Collapse,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Vomiting,Losing sight,Loss of appetite,Collapse,None,None,5
Diabetes,Hunger,Vomiting,Losing sight,Glucose in urine,Enlarged Liver,None,None,5
Diabetes,Hunger,Lethargy,Vomiting,Losing sight,Lack of energy,Enlarged Liver,None,6
Diabetes,Lethargy,Vomiting,Glucose in urine,Lack of energy,Enlarged Liver,None,None,5
Diabetes,Vomiting,Losing sight,Collapse,Enlarged Liver,None,None,None,4
Diabetes,Weight Loss,Vomiting,Cataracts,Losing sight,Enlarged Liver,None,None,5
Diabetes,Hunger,Vomiting,Cataracts,Coma,Enlarged Liver,None,None,5
Diabetes,Hunger,Vomiting,Loss of appetite,Glucose in urine,Coma,Lack of energy,None,6
Diabetes,Increased drinking and urination,Lethargy,Cataracts,Enlarged Liver,None,None,None,4
Diabetes,Vomiting,Loss of appetite,Collapse,Enlarged Liver,None,None,None,4
Diabetes,Hunger,Cataracts,Loss of appetite,Coma,Lack of energy,None,None,5
Diabetes,Increased drinking and urination,Weight Loss,Loss of appetite,Glucose in urine,Coma,Lack of energy,None,6
Diabetes,Lethargy,Vomiting,Loss of appetite,Coma,Collapse,Lack of energy,None,6
Diabetes,Increased drinking and urination,Vomiting,Losing sight,Loss of appetite,Collapse,Lack of energy,None,6
Diabetes,Lethargy,Vomiting,Cataracts,Losing sight,Loss of appetite,Coma,None,6
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Vomiting,Glucose in urine,Enlarged Liver,None,6
Diabetes,Hunger,Weight Loss,Loss of appetite,Glucose in urine,Collapse,Lack of energy,None,6
Diabetes,Increased drinking and urination,Weight Loss,Lethargy,Losing sight,Collapse,Enlarged Liver,None,6
Diabetes,Weight Loss,Cataracts,Loss of appetite,Coma,Lack of energy,None,None,5
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Lethargy,Losing sight,Enlarged Liver,None,6
Diabetes,Hunger,Lethargy,Vomiting,Cataracts,Loss of appetite,None,None,5
Diabetes,Hunger,Weight Loss,Cataracts,Loss of appetite,Glucose in urine,Collapse,None,6
Diabetes,Increased drinking and urination,Vomiting,Cataracts,Losing sight,Loss of appetite,Enlarged Liver,None,6
Diabetes,Weight Loss,Lethargy,Losing sight,Loss of appetite,Glucose in urine,Enlarged Liver,None,6
Diabetes,Weight Loss,Vomiting,Cataracts,Losing sight,Loss of appetite,Glucose in urine,None,6
Diabetes,Increased drinking and urination,Lethargy,Losing sight,Loss of appetite,Glucose in urine,Coma,None,6
Diabetes,Increased drinking and urination,Lethargy,Vomiting,Collapse,Lack of energy,None,None,5
Diabetes,Increased drinking and urination,Lethargy,Cataracts,Collapse,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Hunger,Lethargy,Vomiting,Losing sight,Lack of energy,None,6
Diabetes,Increased drinking and urination,Lethargy,Cataracts,Glucose in urine,Lack of energy,None,None,5
Diabetes,Increased drinking and urination,Hunger,Glucose in urine,Collapse,Lack of energy,Enlarged Liver,None,6
Diabetes,Hunger,Vomiting,Cataracts,Loss of appetite,Collapse,Lack of energy,None,6
Diabetes,Weight Loss,Vomiting,Glucose in urine,Coma,Collapse,None,None,5
Diabetes,Lethargy,Vomiting,Cataracts,Loss of appetite,Lack of energy,None,None,5
Diabetes,Increased drinking and urination,Cataracts,Glucose in urine,Coma,Collapse,None,None,5
Diabetes,Hunger,Lethargy,Vomiting,Lack of energy,Enlarged Liver,None,None,5
Diabetes,Weight Loss,Lethargy,Vomiting,Losing sight,Coma,None,None,5
Diabetes,Hunger,Weight Loss,Loss of appetite,Coma,Collapse,Enlarged Liver,None,6
Diabetes,Vomiting,Losing sight,Loss of appetite,Coma,Collapse,Enlarged Liver,None,6
Diabetes,Vomiting,Losing sight,Glucose in urine,Collapse,None,None,None,4
Diabetes,Increased drinking and urination,Hunger,Cataracts,Losing sight,Glucose in urine,Coma,None,6
Diabetes,Increased drinking and urination,Hunger,Cataracts,Losing sight,Glucose in urine,None,None,5
Diabetes,Vomiting,Loss of appetite,Collapse,Lack of energy,Enlarged Liver,None,None,5
Diabetes,Lethargy,Cataracts,Loss of appetite,Coma,Lack of energy,Enlarged Liver,None,6
Diabetes,Hunger,Lethargy,Vomiting,Collapse,Lack of energy,Enlarged Liver,None,6
Diabetes,Lethargy,Losing sight,Loss of appetite,Coma,Collapse,Lack of energy,None,6
Diabetes,Hunger,Weight Loss,Vomiting,Losing sight,Loss of appetite,Glucose in urine,None,6
Diabetes,Hunger,Losing sight,Loss of appetite,Lack of energy,None,None,None,4
Diabetes,Hunger,Lethargy,Cataracts,Loss of appetite,Collapse,None,None,5
Diabetes,Increased drinking and urination,Hunger,Lethargy,Loss of appetite,Lack of energy,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Lethargy,Cataracts,Lack of energy,None,6
Diabetes,Hunger,Cataracts,Glucose in urine,Coma,Collapse,Lack of energy,None,6
Diabetes,Weight Loss,Lethargy,Vomiting,Loss of appetite,Collapse,Enlarged Liver,None,6
Diabetes,Hunger,Glucose in urine,Coma,Collapse,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Vomiting,Losing sight,Glucose in urine,Coma,Enlarged Liver,None,6
Diabetes,Cataracts,Losing sight,Coma,Collapse,Lack of energy,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Lethargy,Vomiting,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Lethargy,Glucose in urine,Lack of energy,None,None,None,4
Diabetes,Hunger,Vomiting,Losing sight,Loss of appetite,Collapse,Lack of energy,None,6
Diabetes,Hunger,Lethargy,Cataracts,Losing sight,Loss of appetite,Lack of energy,None,6
Diabetes,Hunger,Weight Loss,Vomiting,Loss of appetite,Coma,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Vomiting,Losing sight,Enlarged Liver,None,None,None,4
Diabetes,Hunger,Losing sight,Glucose in urine,Lack of energy,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Lethargy,Lack of energy,Enlarged Liver,None,None,None,4
Diabetes,Cataracts,Losing sight,Loss of appetite,Collapse,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Cataracts,Loss of appetite,Coma,Collapse,None,None,5
Diabetes,Increased drinking and urination,Weight Loss,Lethargy,Losing sight,Lack of energy,None,None,5
Diabetes,Hunger,Vomiting,Coma,Collapse,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Hunger,Vomiting,Coma,Collapse,Enlarged Liver,None,6
Diabetes,Hunger,Loss of appetite,Glucose in urine,Collapse,Lack of energy,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Vomiting,Losing sight,Collapse,Enlarged Liver,None,None,5
Diabetes,Weight Loss,Lethargy,Vomiting,Loss of appetite,None,None,None,4
Diabetes,Increased drinking and urination,Cataracts,Glucose in urine,Lack of energy,None,None,None,4
Diabetes,Increased drinking and urination,Vomiting,Loss of appetite,Collapse,None,None,None,4
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Losing sight,Glucose in urine,Enlarged Liver,None,6
Diabetes,Lethargy,Losing sight,Loss of appetite,Glucose in urine,Lack of energy,None,None,5
Diabetes,Increased drinking and urination,Hunger,Lethargy,Losing sight,Coma,Collapse,None,6
Diabetes,Hunger,Vomiting,Cataracts,Losing sight,Collapse,Enlarged Liver,None,6
Diabetes,Increased drinking and urination,Weight Loss,Cataracts,Losing sight,Coma,Collapse,None,6
Diabetes,Hunger,Weight Loss,Cataracts,Loss of appetite,Collapse,Lack of energy,None,6
Diabetes,Weight Loss,Lethargy,Loss of appetite,Enlarged Liver,None,None,None,4
Diabetes,Hunger,Weight Loss,Lethargy,Loss of appetite,None,None,None,4
Diabetes,Increased drinking and urination,Hunger,Vomiting,Coma,Collapse,Lack of energy,None,6
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Cataracts,Loss of appetite,Coma,None,6
Diabetes,Hunger,Weight Loss,Vomiting,Glucose in urine,Coma,Lack of energy,None,6
Diabetes,Increased drinking and urination,Lethargy,Vomiting,Loss of appetite,Lack of energy,Enlarged Liver,None,6
Diabetes,Weight Loss,Lethargy,Vomiting,Cataracts,Glucose in urine,Collapse,None,6
Diabetes,Lethargy,Cataracts,Losing sight,Coma,Enlarged Liver,None,None,5
Diabetes,Hunger,Cataracts,Glucose in urine,Coma,Lack of energy,None,None,5
Diabetes,Vomiting,Glucose in urine,Coma,Lack of energy,Enlarged Liver,None,None,5
Diabetes,Increased drinking and urination,Hunger,Weight Loss,Lethargy,Collapse,Lack of energy,None,6
Diabetes,Hunger,Losing sight,Loss of appetite,Coma,Lack of energy,Enlarged Liver,None,6
Diabetes,Hunger,Lethargy,Losing sight,Loss of appetite,Collapse,Lack of energy,None,6
Diabetes,Vomiting,Cataracts,Loss of appetite,Lack of energy,None,None,None,4
Diabetes,Weight Loss,Cataracts,Coma,Collapse,None,None,None,4
